Data;Temperatura
19/10/2015;19,86
20/10/2015;26,3
21/10/2015;24,62
22/10/2015;19,9
23/10/2015;20,5
24/10/2015;17,94
25/10/2015;17,64
26/10/2015;20,86
27/10/2015;22
28/10/2015;20,42
29/10/2015;20,56
30/10/2015;23,86
31/10/2015;23,18
01/11/2015;20,22
02/11/2015;21,82
03/11/2015;21,86
04/11/2015;21,52
05/11/2015;21,8
06/11/2015;19,76
07/11/2015;18,3
08/11/2015;20,24
09/11/2015;22,98
10/11/2015;23,72
11/11/2015;26,2
12/11/2015;23,78
13/11/2015;22,78
14/11/2015;25,06
15/11/2015;23,06
16/11/2015;21,16
17/11/2015;21,76
18/11/2015;25,5
19/11/2015;26,16
20/11/2015;23,28
21/11/2015;19,44
22/11/2015;22,26
23/11/2015;20,8
24/11/2015;21,36
25/11/2015;21,26
26/11/2015;22,28
27/11/2015;22,28
28/11/2015;23,7
29/11/2015;22,38
30/11/2015;19,1
01/12/2015;20,1
02/12/2015;22,1
03/12/2015;22,44
04/12/2015;22,76
05/12/2015;24,8
06/12/2015;23,12
07/12/2015;20,04
08/12/2015;21,7
09/12/2015;23,96
10/12/2015;24
11/12/2015;24,04
12/12/2015;23,92
13/12/2015;24,54
14/12/2015;26,28
15/12/2015;25,66
16/12/2015;22,04
17/12/2015;23,32
18/12/2015;26,42
19/12/2015;23,74
20/12/2015;22,84
21/12/2015;23,12
22/12/2015;24,6
23/12/2015;27,46
24/12/2015;24,72
25/12/2015;23,58
26/12/2015;23,34
27/12/2015;24
28/12/2015;22,64
29/12/2015;21,68
30/12/2015;21,38
31/12/2015;24,76
01/01/2016;24,1
02/01/2016;22,86
03/01/2016;21,5
04/01/2016;21,48
05/01/2016;22,96
06/01/2016;23,76
07/01/2016;25,22
08/01/2016;25,94
09/01/2016;24,32
10/01/2016;23,66
11/01/2016;22,44
12/01/2016;22,8
13/01/2016;24,56
14/01/2016;22,9
15/01/2016;20,62
16/01/2016;20,98
17/01/2016;20,92
18/01/2016;19,9
19/01/2016;19,76
20/01/2016;19,76
21/01/2016;20,7
22/01/2016;20,14
23/01/2016;21,58
24/01/2016;22,3
25/01/2016;24,78
26/01/2016;25,34
27/01/2016;23,52
28/01/2016;23,72
29/01/2016;24,74
30/01/2016;26,24
31/01/2016;28,18
01/02/2016;27,68
02/02/2016;25,62
03/02/2016;25,14
04/02/2016;24,96
05/02/2016;25,34
06/02/2016;23,62
07/02/2016;24,42
08/02/2016;24,9
09/02/2016;27,14
10/02/2016;26,4
11/02/2016;23,62
12/02/2016;22,44
13/02/2016;23,58
14/02/2016;26,92
15/02/2016;24,5
16/02/2016;24,06
17/02/2016;25,18
18/02/2016;25,04
19/02/2016;25,38
20/02/2016;24,84
21/02/2016;23,14
22/02/2016;22,36
23/02/2016;22,98
24/02/2016;23,08
25/02/2016;25,48
26/02/2016;24,66
27/02/2016;24,1
28/02/2016;22,94
29/02/2016;19,82
01/03/2016;18,52
02/03/2016;20,56
03/03/2016;21,46
04/03/2016;23,32
05/03/2016;23,2
06/03/2016;24,2
07/03/2016;23,42
08/03/2016;24,1
09/03/2016;25,52
10/03/2016;22,22
11/03/2016;23,44
12/03/2016;21,82
13/03/2016;20,7
14/03/2016;21,96
15/03/2016;23,08
16/03/2016;22,3
17/03/2016;22,88
18/03/2016;23,58
19/03/2016;23,6
20/03/2016;22,64
21/03/2016;24,92
22/03/2016;24,96
23/03/2016;23,14
24/03/2016;21,64
25/03/2016;22,68
26/03/2016;24,4
27/03/2016;25,32
28/03/2016;25,2
29/03/2016;24,44
30/03/2016;24,12
31/03/2016;24,66
01/04/2016;24,08
02/04/2016;22,64
03/04/2016;25
04/04/2016;23,54
05/04/2016;22,94
